ZipCode,MedianIncome,MarginOfError
04073,63750,8811
04074,107210,12514
04076,76071,8320
04079,80813,9586
04083,72642,18294
04084,82000,9453
04085,79883,16895
04086,73345,8251
04087,83219,11612
04088,59231,9725
04090,71090,9782
04091,74688,18798
04092,71335,7744
04093,69465,7810
04095,51250,17514
04096,90942,10574
04097,105917,14235
04101,50858,5185
04102,71126,7447
04103,76540,5161
04105,130739,24908
04106,73492,4611
04107,129503,9375
04108,86000,10474
04109,,
04110,139837,95869
04210,55402,4412
04216,42188,6539
04217,36638,5577
04219,51625,11276
04220,77652,18695
04221,48750,14596
04222,82868,7313
04224,53051,6261
04226,41477,5318
04227,,
04231,38125,14820
04234,,
04236,85685,20346
04237,,
04238,77644,14248
04239,67716,7447
04240,48069,3069
04250,66528,11677
04252,68142,11372
04253,70855,9576
04254,38913,16620
04255,49107,15482
04256,62429,5622
04257,40889,10346
04258,83355,12030
04259,65625,29473
04260,88467,14243
04261,31250,29244
04263,70347,8221
04265,59286,25537
04267,61250,44440
04268,50507,7164
04270,59526,10103
04271,,
04274,74886,20556
04275,41875,17689
04276,44870,6678
04280,64866,7289
04281,51442,15219
04282,78848,18441
04284,51125,17228
04285,55066,7083
04286,,
04287,70000,18993
04289,52578,9408
04290,66544,12832
04292,46023,6732
04294,50489,12379
04330,46515,4347
04341,,
04342,69375,12727
04344,59519,18482
04345,64859,9572
04346,52639,15629
04347,57250,7853
04348,65231,5789
04349,54375,12524
04350,71691,14090
04351,77941,9104
04352,55375,11043
04353,75139,16453
04354,77333,14767
04355,94219,9379
04357,55878,12125
04358,83705,10365
04359,,
04360,63274,8316
04363,59440,7427
04364,74338,8470
04401,57428,2902
04406,42222,14215
04408,58750,23521
04410,71786,17112
04411,71250,28872
04412,50614,9824
04413,55083,13515
04414,53750,14682
04415,37500,9588
04416,49397,8472
04417,32257,5740
04418,49896,7479
04419,86623,8954
04421,85556,32953
04422,63333,14367
04424,40098,4771
04426,45088,3814
04427,53913,7717
04428,61629,10745
04429,80833,11749
04430,40875,10650
04431,,
04434,72625,15252
04435,60806,16193
04438,64271,14599
04441,47344,15327
04442,,
04443,42969,7866
04444,92512,11456
04448,44875,12522
04449,46563,14452
04450,68869,10242
04451,27011,10690
04453,34417,5089
04454,18542,8162
04455,41316,7335
04456,63500,16379
04457,38688,12078
04459,44531,8229
04460,32321,9044
04461,56303,14548
04462,41521,6204
04463,50799,3743
04464,49125,16665
04468,46270,6805
04469,,
04471,37500,9179
04472,58790,15874
04473,51233,6993
04474,74977,12528
04475,43750,12800
04476,47000,8995
04478,46667,14285
04479,40375,11990
04481,62917,4145
04485,53000,18074
04487,41500,8868
04488,54028,20636
04489,,
04490,55938,12025
04491,48125,21023
04492,43750,30461
04493,54327,4380
04495,39531,8946
04496,80958,16890
04497,41250,15424
04530,65486,9655
04535,76563,8232
04537,62885,17046
04538,56196,9787
04539,68750,22831
04541,49821,21839
04543,51033,10678
04544,53994,53884
04547,69107,20186
04548,74318,9055
04551,74375,15924
04553,79313,18694
04554,78421,22663
04555,79716,13288
04556,74120,4664
04558,67250,34023
